# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ACOT7	ENSG00000097021	ENST00000377855	protein_coding	0	1	0	805	1	0	0	0	0	0	0	29	0	0	751	0	0	0	0	0	0	0	0	0	0	1	24
ACOT7	ENSG00000097021	ENST00000377860	nonsense_mediated_decay	0	0	0	851	2	0	0	0	0	0	0	29	0	0	783	0	3	0	0	0	0	0	0	0	0	0	34
ACOT7	ENSG00000097021	ENST00000418124	nonsense_mediated_decay	0	0	0	852	3	0	0	0	0	0	0	29	0	0	783	0	3	0	0	0	0	0	0	0	0	0	34
ACOT7	ENSG00000097021	ENST00000473466	protein_coding	0	0	0	519	0	0	1	0	0	0	0	32	0	0	447	0	0	0	0	0	0	0	0	0	0	0	39
ACOT7	ENSG00000097021	ENST00000481175	retained_intron	0	0	0	125	0	0	0	0	0	0	0	31	0	0	58	0	5	0	0	0	0	0	0	0	0	0	31
ACOT7	ENSG00000097021	ENST00000541130	protein_coding	0	0	0	437	3	0	0	0	0	0	0	39	0	0	359	0	0	0	0	0	0	0	0	0	0	0	36
ACOT7	ENSG00000097021	ENST00000545482	protein_coding	0	1	0	848	1	0	0	0	0	0	0	29	0	0	784	0	0	0	0	0	0	0	0	0	0	1	34
ACOT7	ENSG00000097021	ENST00000608083	protein_coding	0	1	0	848	1	0	0	0	0	0	0	29	0	0	784	0	0	0	0	0	0	0	0	0	0	1	34
ACTRT2	ENSG00000169717	ENST00000378404	protein_coding	0	5	3	79	1	0	0	1	0	0	0	28	0	0	0	2	0	0	0	0	0	0	0	0	0	5	50
AGMAT	ENSG00000116771	ENST00000375826	protein_coding	0	8	3	158	13	1	2	0	0	0	0	18	0	0	66	3	0	0	0	0	1	0	0	0	0	6	60
AGRN	ENSG00000188157	ENST00000379370	protein_coding	0	25	21	329	12	0	1	0	0	0	0	53	0	0	226	21	0	0	0	0	2	0	0	0	0	23	39
AGRN	ENSG00000188157	ENST00000419249	protein_coding	0	4	2	143	0	0	0	0	0	0	0	53	0	0	31	2	0	0	0	0	1	0	0	0	0	3	60
AGRN	ENSG00000188157	ENST00000461111	retained_intron	0	0	0	156	0	0	0	0	0	0	0	53	0	0	3	0	31	0	0	0	0	0	0	0	0	0	69
AGRN	ENSG00000188157	ENST00000466223	retained_intron	0	1	0	104	0	0	0	0	0	0	0	60	0	0	2	0	5	0	0	0	1	0	0	0	0	0	38
AGRN	ENSG00000188157	ENST00000469403	retained_intron	0	0	0	100	0	0	0	0	0	0	0	27	0	0	35	0	6	0	0	0	0	0	0	0	0	0	32
AGRN	ENSG00000188157	ENST00000477585	processed_transcript	0	0	0	104	0	0	0	0	0	0	0	27	0	0	40	0	4	0	0	0	0	0	0	0	0	0	33
AGRN	ENSG00000188157	ENST00000478677	retained_intron	0	0	0	104	0	0	0	0	0	0	0	61	0	0	0	0	2	0	0	0	0	0	0	0	0	0	41
AGRN	ENSG00000188157	ENST00000479707	retained_intron	0	0	0	97	0	0	0	0	0	0	0	67	0	0	3	0	2	0	0	0	0	0	0	0	0	0	25
AGRN	ENSG00000188157	ENST00000492947	retained_intron	0	0	0	110	0	0	0	0	0	0	0	59	0	0	3	0	7	0	0	0	0	0	0	0	0	0	41
AGTRAP	ENSG00000177674	ENST00000314340	protein_coding	0	0	0	133	5	0	1	0	0	0	0	34	0	0	69	0	0	0	0	0	0	0	0	0	0	0	24
AGTRAP	ENSG00000177674	ENST00000376627	protein_coding	0	0	1	131	2	0	1	0	0	0	0	36	0	0	68	1	0	0	0	0	1	0	0	0	0	0	24
AGTRAP	ENSG00000177674	ENST00000376629	protein_coding	0	0	0	133	5	0	1	0	0	0	0	34	0	0	69	0	0	0	0	0	0	0	0	0	0	0	24
AGTRAP	ENSG00000177674	ENST00000376637	protein_coding	0	0	0	135	4	0	1	0	0	0	0	35	0	0	69	0	0	0	0	0	0	0	0	0	0	0	26
AGTRAP	ENSG00000177674	ENST00000400895	protein_coding	0	0	0	131	1	0	1	0	0	0	0	36	0	0	69	0	0	0	0	0	0	0	0	0	0	0	24
AGTRAP	ENSG00000177674	ENST00000452018	protein_coding	0	0	0	130	1	0	1	0	0	0	0	36	0	0	69	0	0	0	0	0	0	0	0	0	0	0	23
AGTRAP	ENSG00000177674	ENST00000471765	processed_transcript	0	0	0	99	0	0	0	0	0	0	0	25	0	0	49	0	2	0	0	0	0	0	0	0	0	0	23
AGTRAP	ENSG00000177674	ENST00000476309	processed_transcript	0	0	0	87	0	0	0	0	0	0	0	36	0	0	22	0	1	0	0	0	0	0	0	0	0	0	28
AGTRAP	ENSG00000177674	ENST00000476512	nonsense_mediated_decay	0	0	0	133	1	0	1	0	0	0	0	36	0	0	69	0	2	0	0	0	0	0	0	0	0	0	24
AGTRAP	ENSG00000177674	ENST00000491346	processed_transcript	0	0	0	132	0	0	0	0	0	0	0	36	0	0	69	0	3	0	0	0	0	0	0	0	0	0	24
AGTRAP	ENSG00000177674	ENST00000494437	processed_transcript	0	0	0	106	0	0	0	0	0	0	0	32	0	0	47	0	3	0	0	0	0	0	0	0	0	0	24
AGTRAP	ENSG00000177674	ENST00000510878	protein_coding	0	0	0	131	3	0	1	0	0	0	0	35	0	0	69	0	0	0	0	0	0	0	0	0	0	0	23
AGTRAP	ENSG00000177674	ENST00000513739	retained_intron	0	0	0	84	0	0	0	0	0	0	0	36	0	0	21	0	0	0	0	0	0	0	0	0	0	0	27
AGTRAP	ENSG00000177674	ENST00000514733	retained_intron	0	0	0	86	0	0	0	0	0	0	0	36	0	0	21	0	2	0	0	0	0	0	0	0	0	0	27
AJAP1	ENSG00000196581	ENST00000378190	protein_coding	0	4	2	1112	4	1	7	0	0	0	1	35	0	0	1023	1	0	0	0	0	1	0	0	0	0	2	44
AJAP1	ENSG00000196581	ENST00000378191	protein_coding	0	5	2	1214	76	1	3	0	0	0	1	32	0	0	1059	1	0	0	0	0	2	0	0	0	0	2	46
AJAP1	ENSG00000196581	ENST00000466761	processed_transcript	0	0	0	91	0	0	0	0	0	0	0	34	0	0	6	0	1	0	0	0	0	0	0	0	0	0	50
AL008733.1	ENSG00000256761	ENST00000420957	pseudogene	0	1	0	67	0	0	0	0	0	0	0	28	0	0	0	0	4	0	0	0	1	0	0	0	0	0	36
AL035406.1	ENSG00000268332	ENST00000594544	protein_coding	0	0	1	67	0	0	0	0	0	0	0	28	0	0	5	1	0	0	0	0	0	0	0	0	0	0	34
AL121992.1	ENSG00000264048	ENST00000584345	miRNA	0	0	0	51	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
AL355149.1	ENSG00000266584	ENST00000577341	miRNA	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AL356261.1	ENSG00000266687	ENST00000585151	miRNA	0	0	0	55	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
AL356693.1	ENSG00000216045	ENST00000401226	miRNA	0	0	0	82	0	0	0	0	0	0	0	31	0	0	0	0	1	0	0	0	0	0	0	0	0	0	50
AL359771.1	ENSG00000266358	ENST00000577470	miRNA	0	0	0	77	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
AL513477.1	ENSG00000178642	ENST00000317490	pseudogene	0	0	0	67	0	0	0	0	0	0	0	18	0	0	0	0	14	0	0	0	0	0	0	0	0	0	35
AL589739.1	ENSG00000269753	ENST00000600779	protein_coding	4	0	1	94	0	0	0	0	0	0	0	38	4	0	0	1	0	0	0	0	0	0	0	0	0	0	56
AL590639.1	ENSG00000225786	ENST00000450492	pseudogene	1	0	0	37	0	0	0	0	0	0	0	15	0	0	3	0	0	0	0	1	0	0	0	0	0	0	20
AL590822.1	ENSG00000203301	ENST00000545087	protein_coding	0	3	4	63	7	2	4	0	0	0	0	30	0	0	0	4	0	0	0	0	0	0	0	0	0	1	22
AL590822.2	ENSG00000269554	ENST00000597060	protein_coding	0	0	0	47	6	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
AL627309.1	ENSG00000237683	ENST00000423372	protein_coding	0	1	1	4	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
AL645608.1	ENSG00000268179	ENST00000598827	protein_coding	0	1	1	145	0	0	0	0	0	0	0	37	0	0	67	1	0	0	0	0	1	0	0	0	0	0	42
AL645608.2	ENSG00000269308	ENST00000594233	protein_coding	1	0	0	43	0	0	0	0	0	0	0	14	0	0	5	0	0	0	1	0	0	0	0	0	0	0	25
AL645728.1	ENSG00000215014	ENST00000366221	protein_coding	0	0	0	85	6	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
AL645728.2	ENSG00000215791	ENST00000539195	pseudogene	0	0	0	52	0	0	0	0	0	0	0	22	0	0	0	0	7	0	0	0	0	0	0	0	0	0	23
AL645728.3	ENSG00000236684	ENST00000426195	pseudogene	0	0	0	88	0	0	0	0	0	0	0	43	0	0	0	0	1	0	0	0	0	0	0	0	0	0	44
AL669831.1	ENSG00000269831	ENST00000599533	protein_coding	0	1	0	22	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	1	0	0	0	0	0	12
AL691523.1	ENSG00000264428	ENST00000579705	miRNA	0	0	0	86	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
AL713997.1	ENSG00000264181	ENST00000582090	miRNA	0	0	0	61	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
ANGPTL7	ENSG00000171819	ENST00000376819	protein_coding	0	2	1	52	5	0	0	0	0	0	0	13	0	0	20	1	0	1	0	0	1	0	0	0	0	1	13
ANGPTL7	ENSG00000171819	ENST00000476934	processed_transcript	0	0	0	38	0	0	0	0	0	0	0	15	0	0	5	0	2	0	0	0	0	0	0	0	0	0	16
ANKRD65	ENSG00000235098	ENST00000427211	protein_coding	0	0	1	85	5	0	3	0	0	0	0	26	0	0	3	1	0	0	0	0	0	0	0	0	0	0	48
ANKRD65	ENSG00000235098	ENST00000436362	protein_coding	0	0	1	76	0	0	0	0	0	0	0	30	0	0	0	1	0	0	0	0	0	0	0	0	0	0	46
ANKRD65	ENSG00000235098	ENST00000442470	protein_coding	0	1	1	83	2	0	1	0	0	0	0	28	0	0	3	1	0	0	0	0	1	0	0	0	0	0	49
ANKRD65	ENSG00000235098	ENST00000454272	processed_transcript	0	0	0	71	0	0	0	0	0	0	0	28	0	0	1	0	4	0	0	0	0	0	0	0	0	0	38
ANKRD65	ENSG00000235098	ENST00000520296	protein_coding	0	0	0	86	6	0	1	0	0	0	0	26	0	0	3	0	0	0	0	0	0	0	0	0	0	0	50
ANKRD65	ENSG00000235098	ENST00000537107	protein_coding	0	1	5	80	2	0	1	0	0	0	0	26	0	0	1	5	0	0	0	0	0	0	0	0	0	1	50
ANO7P1	ENSG00000237276	ENST00000442385	processed_transcript	0	0	0	52	0	0	0	0	0	0	0	33	0	0	8	0	1	0	0	0	0	0	0	0	0	0	10
ANO7P1	ENSG00000237276	ENST00000475369	processed_transcript	0	0	0	48	0	0	0	0	0	0	0	33	0	0	4	0	0	0	0	0	0	0	0	0	0	0	11
ANO7P1	ENSG00000237276	ENST00000602586	transcribed_unprocessed_pseudogene	0	0	0	88	0	0	0	0	0	0	0	33	0	0	31	0	4	0	0	0	0	0	0	0	0	0	20
AP006222.1	ENSG00000241670	ENST00000424429	processed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AP006222.1	ENSG00000241670	ENST00000450734	processed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AP006222.2	ENSG00000228463	ENST00000335577	lincRNA	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP006222.2	ENSG00000228463	ENST00000424587	lincRNA	0	0	0	12	0	0	0	0	0	0	0	2	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0
AP006222.2	ENSG00000228463	ENST00000442116	lincRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
AP006222.2	ENSG00000228463	ENST00000448958	lincRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
APITD1	ENSG00000175279	ENST00000309048	protein_coding	0	1	1	143	2	0	3	0	0	0	0	19	0	0	89	1	0	0	0	0	1	0	0	0	0	0	31
APITD1	ENSG00000175279	ENST00000462462	processed_transcript	0	1	0	136	0	0	0	0	0	0	0	20	0	0	81	0	3	0	0	0	1	0	0	0	0	0	33
APITD1	ENSG00000175279	ENST00000464507	retained_intron	0	1	0	79	0	0	0	0	0	0	0	18	0	0	12	0	5	0	0	0	1	0	0	0	0	0	45
APITD1	ENSG00000175279	ENST00000477755	protein_coding	0	2	0	140	0	1	4	0	0	0	0	21	0	0	81	0	0	0	0	0	1	0	0	0	0	0	35
APITD1	ENSG00000175279	ENST00000602296	protein_coding	0	1	0	194	3	1	5	0	0	0	0	21	0	0	130	0	0	0	0	0	0	0	0	0	0	0	35
APITD1	ENSG00000175279	ENST00000602486	processed_transcript	0	0	0	80	0	0	0	0	0	0	0	40	0	0	5	0	1	0	0	0	0	0	0	0	0	0	34
APITD1	ENSG00000175279	ENST00000602787	protein_coding	0	3	0	192	1	1	5	0	0	0	0	21	0	0	130	0	0	0	0	0	0	0	0	0	0	2	35
APITD1-CORT	ENSG00000251503	ENST00000400900	protein_coding	0	3	0	192	1	1	5	0	0	0	0	21	0	0	130	0	0	0	0	0	0	0	0	0	0	2	35
APITD1-CORT	ENSG00000251503	ENST00000465026	processed_transcript	0	0	0	178	0	0	0	0	0	0	0	21	0	0	122	0	2	0	0	0	0	0	0	0	0	0	33
APITD1-CORT	ENSG00000251503	ENST00000470413	protein_coding	0	0	0	188	2	0	3	0	0	0	0	21	0	0	130	0	0	0	0	0	0	0	0	0	0	0	32
APITD1-CORT	ENSG00000251503	ENST00000602446	protein_coding	0	1	1	159	2	0	0	0	0	0	0	21	0	0	104	1	0	0	0	0	1	0	0	0	0	0	33
ARHGEF16	ENSG00000130762	ENST00000378371	protein_coding	0	3	5	176	6	0	4	0	0	0	0	33	0	0	102	5	0	0	0	0	1	0	0	0	0	3	31
ARHGEF16	ENSG00000130762	ENST00000378373	protein_coding	0	3	5	177	6	0	2	0	0	0	0	33	0	0	110	5	0	0	0	0	1	0	0	0	0	3	26
ARHGEF16	ENSG00000130762	ENST00000378378	protein_coding	0	4	8	248	6	0	0	0	0	0	0	33	0	0	181	8	0	0	0	0	1	0	0	0	0	4	28
ARHGEF16	ENSG00000130762	ENST00000413250	protein_coding	0	4	5	144	1	0	0	0	0	0	0	35	0	0	58	5	0	0	0	0	1	0	0	0	0	4	50
ARHGEF16	ENSG00000130762	ENST00000418137	protein_coding	0	1	3	118	0	0	0	0	0	0	0	36	0	0	32	3	0	0	0	0	0	0	0	0	0	1	50
ARHGEF16	ENSG00000130762	ENST00000445297	protein_coding	0	2	3	124	0	2	7	0	0	0	0	35	0	0	40	3	0	0	0	0	0	0	0	0	0	0	42
ARHGEF16	ENSG00000130762	ENST00000464620	retained_intron	0	0	0	114	0	0	0	0	0	0	0	35	0	0	15	0	14	0	0	0	0	0	0	0	0	0	50
ARHGEF16	ENSG00000130762	ENST00000485984	retained_intron	0	1	0	142	0	0	0	0	0	0	0	33	0	0	41	0	23	0	0	0	1	0	0	0	0	0	46
ARHGEF19	ENSG00000142632	ENST00000270747	protein_coding	0	2	8	152	3	0	1	0	0	0	0	38	0	0	83	8	0	0	0	0	1	0	0	0	0	1	28
ARHGEF19	ENSG00000142632	ENST00000441785	protein_coding	0	2	2	65	0	0	0	0	0	0	0	33	0	0	0	2	0	0	0	0	0	0	0	0	0	2	32
ARHGEF19	ENSG00000142632	ENST00000449495	protein_coding	0	3	2	71	0	0	0	0	0	0	0	40	0	0	0	2	0	0	0	0	0	0	0	0	0	3	31
ARHGEF19	ENSG00000142632	ENST00000471928	processed_transcript	0	0	0	78	0	0	0	0	0	0	0	37	0	0	7	0	2	0	0	0	0	0	0	0	0	0	32
ARHGEF19	ENSG00000142632	ENST00000478117	processed_transcript	0	0	0	131	0	0	0	0	0	0	0	40	0	0	51	0	8	0	0	0	0	0	0	0	0	0	32
ARHGEF19	ENSG00000142632	ENST00000478210	processed_transcript	0	0	0	76	0	0	0	0	0	0	0	40	0	0	0	0	4	0	0	0	0	0	0	0	0	0	32
ARHGEF19-AS1	ENSG00000234166	ENST00000457809	antisense	0	0	0	80	0	0	0	0	0	0	0	39	0	0	0	0	1	0	0	0	0	0	0	0	0	0	40
ATAD3A	ENSG00000197785	ENST00000339113	protein_coding	0	6	2	217	9	0	0	0	0	0	0	23	0	0	154	2	0	0	0	0	2	0	0	0	0	4	33
ATAD3A	ENSG00000197785	ENST00000378755	protein_coding	0	9	7	209	9	0	0	0	0	0	0	23	0	0	150	7	0	0	0	0	2	0	0	0	0	7	29
ATAD3A	ENSG00000197785	ENST00000378756	protein_coding	0	8	4	213	9	0	0	0	0	0	0	23	0	0	154	4	0	0	0	0	2	0	0	0	0	6	29
ATAD3A	ENSG00000197785	ENST00000400830	protein_coding	0	0	0	129	0	0	0	0	0	0	0	67	0	0	29	0	0	0	0	0	0	0	0	0	0	0	33
ATAD3A	ENSG00000197785	ENST00000429957	retained_intron	0	0	0	91	0	0	0	0	0	0	0	33	0	0	32	0	2	0	0	0	0	0	0	0	0	0	24
ATAD3A	ENSG00000197785	ENST00000439513	retained_intron	0	0	0	62	0	0	0	0	0	0	0	34	0	0	0	0	5	0	0	0	0	0	0	0	0	0	23
ATAD3A	ENSG00000197785	ENST00000536055	protein_coding	0	6	2	217	9	0	0	0	0	0	0	23	0	0	154	2	0	0	0	0	2	0	0	0	0	4	33
ATAD3B	ENSG00000160072	ENST00000308647	protein_coding	0	11	4	232	3	1	2	0	0	0	0	44	0	0	162	4	0	0	0	0	2	0	0	0	0	8	23
ATAD3B	ENSG00000160072	ENST00000378736	processed_transcript	0	1	0	96	0	0	0	0	0	0	0	39	0	0	32	0	2	0	0	0	1	0	0	0	0	0	24
ATAD3B	ENSG00000160072	ENST00000378741	protein_coding	0	3	2	131	0	2	5	0	0	0	0	38	0	0	66	2	0	0	0	0	1	0	0	0	0	0	23
ATAD3B	ENSG00000160072	ENST00000472194	retained_intron	0	2	0	221	0	0	0	0	0	0	0	40	0	0	131	0	30	0	0	0	2	0	0	0	0	0	22
ATAD3B	ENSG00000160072	ENST00000474481	retained_intron	0	1	0	180	0	0	0	0	0	0	0	44	0	0	63	0	37	0	0	0	1	0	0	0	0	0	37
ATAD3B	ENSG00000160072	ENST00000485748	retained_intron	0	1	0	191	0	0	0	0	0	0	0	44	0	0	81	0	23	0	0	0	1	0	0	0	0	0	44
ATAD3C	ENSG00000215915	ENST00000378785	protein_coding	0	6	8	172	11	0	7	0	0	0	0	22	0	0	111	8	0	0	0	0	3	0	0	0	0	4	23
ATAD3C	ENSG00000215915	ENST00000475091	protein_coding	0	1	4	118	0	0	0	0	0	0	0	50	0	0	45	4	0	0	0	0	0	0	0	0	0	1	23
ATAD3C	ENSG00000215915	ENST00000484537	retained_intron	0	0	0	85	0	0	0	0	0	0	0	24	0	0	10	0	7	0	0	0	0	0	0	0	0	0	44
ATP13A2	ENSG00000159363	ENST00000326735	protein_coding	0	12	1	131	4	0	0	0	0	0	0	23	0	0	76	1	0	0	0	0	1	0	0	0	0	11	29
ATP13A2	ENSG00000159363	ENST00000341676	protein_coding	0	11	5	128	0	0	1	0	0	0	0	23	0	0	77	5	0	0	0	0	1	0	0	0	0	10	28
ATP13A2	ENSG00000159363	ENST00000452699	protein_coding	0	12	1	131	4	0	1	0	0	0	0	23	0	0	76	1	0	0	0	0	1	0	0	0	0	11	28
ATP13A2	ENSG00000159363	ENST00000463860	retained_intron	0	0	0	53	0	0	0	0	0	0	0	16	0	0	18	0	6	0	0	0	0	0	0	0	0	0	13
ATP13A2	ENSG00000159363	ENST00000466561	retained_intron	0	1	0	65	0	0	0	0	0	0	0	23	0	0	11	0	14	0	0	0	1	0	0	0	0	0	18
ATP13A2	ENSG00000159363	ENST00000502418	protein_coding	0	7	4	50	0	0	0	0	0	0	0	23	0	0	13	4	0	0	0	0	1	0	0	0	0	6	15
ATP13A2	ENSG00000159363	ENST00000502860	processed_transcript	0	0	0	52	0	0	0	0	0	0	0	15	0	0	18	0	2	0	0	0	0	0	0	0	0	0	17
ATP13A2	ENSG00000159363	ENST00000503552	protein_coding	0	1	0	66	0	0	0	0	0	0	0	25	0	0	15	0	0	0	0	0	0	0	0	0	0	1	26
ATP13A2	ENSG00000159363	ENST00000506174	protein_coding	0	1	1	50	0	0	0	0	0	0	0	15	0	0	18	1	0	0	0	0	0	0	0	0	0	1	17
ATP13A2	ENSG00000159363	ENST00000508222	protein_coding	0	0	0	53	0	0	0	0	0	0	0	21	0	0	17	0	0	0	0	0	0	0	0	0	0	0	15
ATP13A2	ENSG00000159363	ENST00000509392	retained_intron	0	0	0	41	0	0	0	0	0	0	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	25
ATP13A2	ENSG00000159363	ENST00000509619	protein_coding	0	0	0	45	0	0	0	0	0	0	0	23	0	0	7	0	0	0	0	0	0	0	0	0	0	0	15
ATP13A2	ENSG00000159363	ENST00000510069	protein_coding	0	1	1	51	0	0	0	0	0	0	0	19	0	0	17	1	0	0	0	0	0	0	0	0	0	1	15
ATP13A2	ENSG00000159363	ENST00000511957	protein_coding	0	0	1	51	0	0	0	0	0	0	0	20	0	0	16	1	0	0	0	0	0	0	0	0	0	0	15
AURKAIP1	ENSG00000175756	ENST00000321751	protein_coding	0	0	2	85	0	0	0	0	0	0	0	38	0	0	5	2	0	0	0	0	0	0	0	0	0	0	42
AURKAIP1	ENSG00000175756	ENST00000338338	protein_coding	0	1	2	85	0	1	6	0	0	0	0	38	0	0	5	2	0	0	0	0	0	0	0	0	0	0	36
AURKAIP1	ENSG00000175756	ENST00000338370	protein_coding	0	1	2	85	0	1	2	0	0	0	0	38	0	0	3	2	0	0	0	0	0	0	0	0	0	0	42
AURKAIP1	ENSG00000175756	ENST00000378853	protein_coding	0	0	2	85	0	0	0	0	0	0	0	38	0	0	5	2	0	0	0	0	0	0	0	0	0	0	42
AURKAIP1	ENSG00000175756	ENST00000489799	processed_transcript	0	0	0	82	0	0	0	0	0	0	0	35	0	0	2	0	3	0	0	0	0	0	0	0	0	0	42
AURKAIP1	ENSG00000175756	ENST00000496905	processed_transcript	0	0	0	79	0	0	0	0	0	0	0	32	0	0	1	0	4	0	0	0	0	0	0	0	0	0	42
